wage,educ,exper,tenure,female,married
57.25,16,8,6,0,1
38.71,16,2,0,0,0
81.36,18,8,10,0,1
23.77,13,29,1,1,1
28.79,10,14,5,0,1
47.54,16,26,3,1,1
40.75,14,11,3,1,1
82.99,16,10,2,0,0
30.56,12,13,0,0,1
20.37,9,23,20,1,1
19.69,11,1,2,0,0
101.87,11,35,31,0,1
27.16,12,5,2,0,1
35.65,11,13,11,0,1
27.16,12,22,3,0,1
22.41,12,21,9,1,1
34.3,12,19,0,1,1
24.31,12,13,0,0,0
33.96,14,15,5,0,1
31.04,14,3,0,0,1
84.89,18,6,2,0,0
23.43,12,6,5,1,1
31.44,12,16,1,1,0
67.91,12,31,2,0,1
19.83,11,1,0,1,0
30.63,12,5,2,0,0
44.14,17,3,0,0,1
50.93,16,11,0,0,1
24.04,13,6,7,1,1
28.52,13,11,3,1,1
23.84,12,7,2,1,1
30.56,14,5,0,0,1
22.75,14,5,4,1,1
19.76,11,2,2,0,0
35.65,10,44,7,0,1
27.5,8,44,25,0,1
25.47,14,13,0,1,1
23.09,12,26,15,1,1
20.37,10,2,1,1,0
42.72,17,10,3,0,1
17.25,9,2,0,1,0
30.56,12,35,0,1,1
21.26,12,6,5,1,1
43.19,14,8,1,0,1
31.78,16,1,0,0,0
46.18,12,14,10,0,1
57.93,10,14,6,0,1
28.32,0,22,10,1,0
25.47,14,8,4,1,1
75.38,15,1,4,1,0
22.14,16,15,5,1,1
62,12,14,12,0,1
30.56,11,37,10,0,1
20.37,11,1,1,1,0
59.42,12,4,4,0,1
28.12,13,29,0,1,1
19.49,12,45,8,1,1
22.75,13,22,0,1,0
41.29,16,42,10,0,0
20.37,15,9,0,0,0
28.52,16,8,0,1,1
38.03,15,31,15,1,0
67.91,12,24,24,0,1
84.89,18,16,5,0,1
25.53,6,6,0,0,0
21.05,6,14,0,1,0
29.13,12,47,25,1,1
74.16,12,34,5,0,1
50.93,16,6,2,1,1
27.5,9,7,4,1,1
31.58,12,27,2,0,1
33.96,11,24,5,0,1
19.69,10,18,0,1,1
54.33,12,12,3,1,0
57.25,8,27,3,0,1
19.83,9,49,0,1,0
42.44,17,4,0,1,0
42.44,16,24,2,1,1
34.7,11,3,0,0,0
27.16,10,2,0,1,0
30.15,8,29,11,0,1
46.72,13,34,21,0,1
36.88,14,10,3,0,1
20.37,13,5,0,1,0
19.69,11,2,0,1,0
42.44,7,39,21,0,1
29.47,16,5,2,1,0
22.07,12,14,2,1,1
49.3,13,8,2,0,0
43.12,14,10,1,1,1
38.23,16,2,2,0,1
59.42,14,9,3,0,1
21.73,11,1,0,0,0
20.37,8,45,1,1,1
20.37,14,33,3,1,1
84.89,17,21,18,0,1
19.56,10,2,0,1,0
22.75,12,9,1,0,1
44.14,12,33,2,0,1
70.49,18,16,2,0,1
30.56,14,10,0,0,1
67.91,18,9,8,0,0
25.87,12,8,1,1,1
59.76,16,9,1,0,1
63.97,14,23,0,1,1
42.99,12,23,8,0,1
27.16,9,22,18,0,0
19.69,12,37,0,1,1
135.82,12,22,4,0,1
76.4,17,28,25,0,1
23.77,12,14,0,1,0
40.75,15,19,4,1,1
97.66,17,10,9,0,1
43.19,16,25,0,0,1
24.11,12,21,0,1,1
20.37,15,32,0,0,1
30.56,16,21,10,0,1
45.03,12,36,0,1,0
63.16,15,2,2,0,1
20.37,12,11,0,1,1
22.07,12,40,2,1,0
10.19,12,11,1,1,1
40.07,12,9,7,1,1
54.33,16,23,4,0,0
19.69,11,1,0,1,0
22.34,14,30,13,0,0
44.14,14,41,33,0,1
27.16,13,6,0,1,0
40.75,14,11,0,0,1
27.71,12,43,17,1,1
25.47,12,39,2,1,1
20.71,8,50,24,1,0
23.77,12,26,20,1,1
19.83,3,51,30,0,0
30.56,11,3,9,0,0
22.75,15,3,1,1,1
40.41,11,15,9,0,1
54.33,12,17,6,0,1
20.37,4,36,0,0,1
33.96,9,31,9,0,1
37.35,12,9,4,0,1
18,12,42,10,1,1
20.37,11,3,0,1,0
30.56,12,37,14,1,1
118.85,16,23,22,0,1
55.55,13,21,5,0,0
61.73,15,11,12,0,1
80.27,16,35,13,0,1
22.07,12,42,0,1,1
30.56,12,3,0,0,0
30.56,12,13,0,0,1
25.2,9,14,7,0,1
44.14,10,14,11,0,1
19.69,12,39,1,1,1
38.03,11,11,8,0,1
15.14,8,28,3,0,1
33.96,6,18,0,1,1
56.57,16,6,2,0,1
19.69,12,26,1,1,0
42.44,12,21,6,0,1
30.9,16,34,2,0,1
22.28,12,17,2,1,0
15.62,10,2,0,1,0
22.41,13,5,0,1,0
21.39,13,1,0,1,0
84.89,14,40,30,0,1
34.97,16,39,21,1,0
21.26,10,1,1,0,0
49.24,12,14,5,0,1
19.69,12,2,2,1,0
11.88,11,2,1,0,0
19.63,0,42,0,1,1
19.69,5,34,0,1,1
120.27,16,10,3,0,1
42.44,16,4,3,0,1
17.66,9,4,0,0,0
45.03,15,21,3,1,1
23.77,12,31,3,1,0
44.14,12,20,14,0,1
20.37,12,36,1,1,0
29.75,13,7,0,0,1
67.91,12,15,0,0,0
33.62,7,25,17,0,1
61.12,17,7,0,1,1
9.71,12,17,0,1,1
20.92,12,3,1,0,0
63.36,14,12,11,0,1
50.93,12,18,5,0,1
32.26,13,47,1,0,1
38.37,12,2,0,0,0
101.87,16,14,2,1,1
15.42,10,2,0,1,0
31.71,15,13,18,0,1
78.51,16,5,1,0,1
23.77,14,5,4,1,0
